SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
538546,BANSAL ROOF ,M ,Q,39.00,39.00,39.00,39.00,39.00,38.00,1,3000,117000.00,
538562,SKIPPER     ,B ,Q,58.30,60.05,58.30,60.00,60.00,59.30,33,931,55169.00,
538566,APOLLOTRI   ,X ,Q,173.00,178.90,170.10,176.80,178.00,171.85,195,63242,10978106.00,
538567,GULFOIL LUB ,B ,Q,845.00,855.00,843.50,853.45,853.45,830.00,31,173,147082.00,
538569,TRIVENI ENT ,X ,Q,78.00,78.10,78.00,78.10,78.10,82.00,3,1000,78025.00,
538598,VISHAL      ,B ,Q,279.95,280.00,279.95,280.00,280.00,275.00,7,18005,5041399.00,
538607,TOYAMIND    ,X ,Q,5.00,5.01,4.81,4.96,4.96,4.97,256,343197,1697069.00,
538634,VRL         ,X ,Q,31.10,31.10,31.05,31.05,31.05,31.25,3,204,6344.00,
538635,SNOWMAN     ,B ,Q,30.85,31.05,29.80,29.95,30.00,30.80,225,33337,1006806.00,
538653,EML         ,XT,Q,1.39,1.39,1.39,1.39,1.39,1.41,2,1050,1459.00,
538666,SHARDACROP  ,A ,Q,340.30,347.00,340.30,344.40,340.30,342.25,37,338,116283.00,
538668,NAYSAA      ,M ,Q,39.15,43.50,39.15,43.50,43.50,43.50,2,8000,330600.00,
538683,RELSENSEX   ,B ,Q,400.00,401.37,400.00,401.37,401.37,396.85,3,11,4413.00,
538685,SHEMAROO    ,B ,Q,360.00,361.50,349.75,353.90,353.35,353.00,12,78,27805.00,
538706,ULTRACAB    ,X ,Q,51.00,55.00,51.00,53.00,53.00,55.00,28,6752,359623.00,
538708,ETIL        ,X ,Q,7.70,7.70,7.22,7.22,7.22,7.40,3,17,128.00,
538713,ATISHAY     ,B ,Q,71.00,72.00,70.00,71.00,71.00,70.00,11,225,15927.00,
538715,DHABRIYA    ,B ,Q,55.00,58.85,55.00,58.55,58.85,59.40,4,12,702.00,
538730,PDSMFL      ,B ,Q,240.00,250.00,240.00,249.90,250.00,240.00,7,1605,385497.00,
538765,JSHL        ,M ,Q,11.08,11.08,11.08,11.08,11.08,10.59,2,10000,110800.00,
538772,NIYOGIN     ,B ,Q,63.80,68.00,63.80,68.00,68.00,64.80,8,1156,78099.00,
538778,AKASHDEEP   ,XT,Q,42.55,44.60,42.55,44.60,44.60,42.55,25,25,1084.00,
538787,GBFL        ,X ,Q,0.61,0.61,0.61,0.61,0.61,0.64,3,816,497.00,
538795,SAPPL       ,X ,Q,214.20,229.50,214.20,229.05,229.50,214.00,7,95,21678.00,
538812,AANCHALISP  ,B ,Q,13.10,13.50,12.55,13.01,13.10,13.10,74,187520,2460604.00,
538834,MEL         ,XT,Q,8.80,9.07,8.80,9.07,9.07,8.90,11,2400,21494.00,
538835,INTELLECT   ,A ,Q,221.30,226.00,219.50,225.25,225.00,221.15,506,20982,4715520.00,
538836,MONTECARLO  ,B ,Q,308.50,318.45,305.05,313.15,316.95,308.85,59,1281,400740.00,
538837,JSTL        ,X ,Q,32.00,32.00,28.50,30.90,30.90,29.70,10,151,4645.00,
538838,ICL         ,XT,Q,7.98,7.98,7.98,7.98,7.98,8.14,1,200,1596.00,
538858,CAMSONBIO   ,XT,Q,7.56,8.19,7.56,7.58,7.58,7.80,24,2058,16033.00,
538860,PANAFIC     ,X ,Q,0.30,0.30,0.29,0.30,0.30,0.30,9,9260,2773.00,
538881,GALADAFIN   ,X ,Q,10.49,10.49,10.49,10.49,10.49,10.49,1,50,524.00,
538882, EMERALD    ,X ,Q,9.74,9.74,9.74,9.74,9.74,9.28,1,100,974.00,
538890,MKEXIM      ,XT,Q,9.83,9.83,9.83,9.83,9.83,10.03,1,1,9.00,
538891,MCLOUD      ,X ,Q,30.05,30.60,28.70,28.85,28.70,29.90,1597,187720,5536168.00,
538896,KANCHI      ,XT,Q,342.85,348.00,327.00,340.75,340.75,333.40,117,9469,3176006.00,
538902,DHUN TEAIND ,B ,Q,201.35,209.45,201.35,209.00,209.00,205.50,16,523,108230.00,
538918,VANICOM     ,XT,Q,7.85,7.85,7.85,7.85,7.85,7.55,1,1,7.00,
538922,COSYN       ,X ,Q,35.00,35.60,33.40,33.45,33.40,35.35,42,1951,65807.00,
538928,KARNAVATI   ,T ,Q,32.60,32.60,32.60,32.60,32.60,32.40,2,1100,35860.00,
538961,GENUSPAPER  ,B ,Q,7.15,7.25,7.02,7.17,7.17,7.30,14,3054,21843.00,
538962,MINDACORP   ,B ,Q,119.85,122.25,118.50,120.30,120.70,117.95,174,3649,438298.00,
538964,MERCURYLAB  ,XT,Q,277.50,277.50,277.50,277.50,277.50,281.00,2,200,55500.00,
538987,TALBROSENG  ,X ,Q,137.50,137.50,137.00,137.00,137.00,130.30,5,67,9187.00,
538993,PUROHITCON  ,XT,Q,8.12,8.12,8.12,8.12,8.12,7.74,3,300,2436.00,
539006,PTCIL       ,X ,Q,362.15,420.00,362.10,374.05,371.10,385.05,11,136,52388.00,
539017,ASHFL       ,B ,Q,46.50,49.30,42.50,47.20,47.00,44.85,28,3271,151615.00,
539018,BEEKAY      ,X ,Q,290.00,300.00,286.05,288.10,288.10,285.00,10,410,120968.00,
539026,SSPNFIN     ,M ,Q,29.00,29.50,29.00,29.50,29.50,28.90,3,18000,525000.00,
539031,SETFBSE100  ,B ,Q,118.00,118.00,117.75,117.88,118.00,116.50,4,420,49557.00,
539032,FRASER      ,XT,Q,9.03,9.03,9.03,9.03,9.03,9.50,8,23387,211184.00,
539042,AGIIL       ,T ,Q,65.00,65.00,61.00,61.00,61.00,63.90,2,255,15559.00,
539044,MANAKSTELTD ,B ,Q,17.40,17.40,16.15,16.40,16.15,17.30,7,884,14612.00,
539045,MNKALCOLTD  ,B ,Q,6.15,6.89,6.15,6.87,6.89,6.94,3,300,1917.00,
539046,MNKCMILTD   ,B ,Q,4.49,4.49,4.18,4.49,4.49,4.35,3,341,1487.00,
539056,ADLABS      ,B ,Q,7.40,7.70,7.15,7.37,7.32,7.79,98,40047,298387.00,
539083,INOXWIND    ,A ,Q,58.00,58.00,56.00,56.85,56.75,57.50,59,1575,89903.00,
539097,YOGYA       ,M ,Q,25.00,25.30,25.00,25.15,25.30,23.15,2,16000,402400.00,
539113,PML         ,X ,Q,1545.00,1594.95,1510.00,1513.35,1510.00,1595.00,18,48,73623.00,
539117,SUJALA      ,XT,Q,29.30,29.30,29.30,29.30,29.30,29.85,4,20,586.00,
539118,VRLLOG      ,B ,Q,251.10,252.00,241.00,245.40,241.00,249.80,88,845,209003.00,
539122,BODHTREE    ,X ,Q,30.20,34.15,30.20,31.75,31.95,31.00,16,801,24901.00,
539123,VBIND       ,X ,Q,3.62,3.62,3.62,3.62,3.62,3.69,1,1,3.00,
539126,MEP         ,B ,Q,34.60,38.45,34.35,37.25,37.25,34.55,406,41245,1507475.00,
539131,CLLIMITED   ,X ,Q,3.70,3.70,3.70,3.70,3.70,3.53,1,1,3.00,
539132,VEGETABLE   ,X ,Q,3.88,3.90,3.87,3.88,3.88,3.88,7,9467,36709.00,
539141,UFO         ,B ,Q,171.00,207.20,169.50,196.25,196.25,172.70,333,12349,2474899.00,
539143,PANTH       ,X ,Q,80.50,80.85,78.30,80.65,80.75,79.30,157,54367,4385504.00,
539148,SHIVALIK    ,X ,Q,275.00,275.00,270.00,273.50,274.90,274.15,34,1817,499096.00,
539149,ICSL        ,X ,Q,1.00,1.00,1.00,1.00,1.00,1.00,2,300,300.00,
539150,PNCINFRA    ,A ,Q,151.50,156.80,146.60,155.60,156.80,150.20,325,9133,1394667.00,
539151,ARFIN       ,X ,Q,162.15,174.00,156.60,173.00,173.00,171.00,20,772,130524.00,
539176,HAWAENG     ,XT,Q,30.40,32.20,30.40,32.20,32.20,32.00,31,1220,37421.00,
539177,AIIL        ,X ,Q,29.60,29.60,29.60,29.60,29.60,29.60,3,15,444.00,
539195,POEL        ,X ,Q,32.00,32.00,32.00,32.00,32.00,33.00,3,200,6400.00,
539196,AEL         ,X ,Q,11.50,11.50,11.50,11.50,11.50,11.24,1,500,5750.00,
539197,DEVHARI     ,XT,Q,6.24,6.24,6.24,6.24,6.24,6.25,3,6300,39312.00,
539201,SATIA       ,X ,Q,693.00,694.50,670.00,680.15,689.90,692.70,89,1992,1360962.00,
539207,MANPASAND   ,A ,Q,99.15,102.90,98.00,99.75,101.45,99.15,986,51801,5228897.00,
539219,MUL         ,X ,Q,258.00,260.00,240.00,250.35,249.00,253.90,63,2103,531121.00,
539221,SPORTKING   ,XT,Q,399.00,399.00,386.00,386.00,386.00,399.00,3,15,5936.00,
539225,JIYAECO     ,B ,Q,57.80,58.50,56.60,57.50,57.50,57.85,572,154642,8871254.00,
539226,RUDRA       ,T ,Q,68.30,69.40,68.20,69.40,69.40,68.05,9,20001,1365201.00,
539228,GGPL        ,B ,Q,62.85,62.85,62.60,62.65,62.60,62.70,20,2522,158119.00,
539229,MRSS        ,M ,Q,24.70,27.00,24.55,26.50,27.00,25.75,15,10200,264420.00,
539235,GPL         ,X ,Q,230.00,243.00,220.00,221.20,220.00,231.50,8,1000,226150.00,
539251,BALKRISHNA  ,B ,Q,32.65,33.40,31.85,32.30,32.65,33.00,114,5359,174705.00,
539252,SCFL        ,B ,Q,5.90,5.90,5.15,5.38,5.38,5.60,5,1395,7482.00,
539254,ADANITRANS  ,A ,Q,208.60,208.60,204.45,205.40,205.40,208.40,190,7931,1639344.00,
539265,AMRAFIN     ,M ,Q,10.45,10.45,10.45,10.45,10.45,11.55,1,1200,12540.00,
539267,DRHABEEB    ,XT,Q,26.35,29.00,26.35,28.75,28.75,27.70,4,1810,49510.00,
539268,SYNGENE     ,A ,Q,595.00,598.00,587.00,591.75,587.00,595.65,270,2032,1206071.00,
539276,KAYA        ,B ,Q,568.80,608.30,563.00,603.50,603.50,572.05,115,558,329614.00,
539278,SYMBIOX     ,XT,Q,0.82,0.82,0.82,0.82,0.82,0.79,2,5000,4100.00,
539287,ORTINLAABS  ,B ,Q,11.50,11.60,11.50,11.50,11.50,11.65,5,1201,13831.00,
539289,MJCO        ,B ,Q,515.85,515.85,489.00,493.15,503.10,500.15,517,6162,3063817.00,
539290,BINDALAGRO  ,B ,Q,14.80,14.85,13.31,14.47,14.55,13.67,57,11680,166712.00,
539291,OZONEWORLD  ,XT,Q,36.50,36.50,36.50,36.50,36.50,36.50,1,101,3686.00,
539301,ARVSMART    ,B ,Q,113.00,117.20,112.60,116.65,117.00,113.00,22,468,53830.00,
539302,POWERMECH   ,B ,Q,900.05,920.00,875.00,900.50,875.00,887.75,350,1300,1173520.00,
539309,RAMASTEEL   ,B ,Q,113.35,117.70,106.60,112.25,112.25,113.40,854,39623,4440267.00,
539310,TISL        ,B ,Q,3.45,3.58,3.26,3.33,3.33,3.43,99,1520710,5106843.00,
539312,UTISENSETF  ,B ,Q,394.80,394.80,387.02,387.02,387.02,389.75,6,35,13662.00,
539313,UTINIFTETF  ,B ,Q,1185.15,1190.00,1185.15,1190.00,1190.00,1161.00,2,1909,2262495.00,
539331,VETO        ,B ,Q,65.00,65.00,62.50,62.85,63.40,65.65,113,4241,268401.00,
539332,NAVKARCORP  ,A ,Q,27.60,28.00,26.30,26.60,26.60,27.60,404,32093,863751.00,
539333,PENPEBS     ,B ,Q,52.90,52.90,51.55,51.55,51.55,52.15,4,210,10848.00,
539334,SHREEPUSHK  ,B ,Q,140.00,157.00,138.65,144.70,144.70,140.90,209,8588,1214679.00,
539336,GUJGAS      ,A ,Q,159.10,160.00,156.00,158.90,159.10,156.75,767,14937,2364910.00,
