SC_CODE,SC_NAME,OPEN,HIGH,LOW,CLOSE
<br>540125,RADHIKAJWE  ,24.25,25.00,24.00,25.00
<br>540132,SIIL        ,6.50,6.50,6.50,6.50
<br>540133,ICICIPRULI  ,334.45,342.95,332.90,339.40
<br>540134,IISL        ,18.25,18.25,18.00,18.00
<br>540135,ARCFIN      ,0.61,0.61,0.61,0.61
<br>540136,HPL         ,52.95,55.00,52.00,52.80
<br>540143,SAGARSOFT   ,81.00,85.85,81.00,84.25
<br>540145,VALIANTORG  ,1850.00,1850.00,1834.00,1848.85
<br>540151,DIKSAT      ,110.20,110.20,110.20,110.20
<br>540153,ENDURANCE   ,1189.00,1189.00,1146.55,1147.95
<br>540154,IDFSENSEXE  ,380.00,450.00,380.00,450.00
<br>540173,PNBHOUSING  ,747.80,752.70,717.15,734.20
<br>540175,REGENCY     ,24.80,25.00,24.80,25.00
<br>540180,VBL         ,939.90,939.90,907.00,917.15
<br>540190,FRANKLININD ,16.80,16.80,16.50,16.80
<br>540192,LKPSEC      ,9.69,9.69,9.02,9.02
<br>540198,OSIAJEE     ,18.20,18.90,18.20,18.90
<br>540203,SFL         ,1220.05,1230.00,1200.05,1222.50
<br>540210,TMRVL       ,22.10,22.85,22.10,22.75
<br>540212,TCIEXP      ,629.80,645.00,610.55,642.50
<br>540222,LAURUSLABS  ,374.00,375.00,371.00,373.00
<br>540243,NEWLIGHT    ,36.80,38.50,36.80,38.10
<br>540251,AXISE1GPG   ,10.38,10.38,10.38,10.38
<br>540259,SHANGAR     ,32.65,33.50,32.65,33.50
<br>540267,FLORACORP   ,15.70,15.70,15.60,15.60
<br>540268,DHANVARSHA  ,61.90,66.60,61.90,63.80
<br>540293,PRICOLLTD   ,32.75,32.95,31.50,32.35
<br>540311,JITFINFRA   ,12.20,12.20,11.90,11.90
<br>540336,AXISE2GPG   ,10.40,10.40,10.40,10.40
<br>540360,LLFICL      ,73.00,73.00,63.00,67.00
<br>540361,DANUBE      ,4.95,4.95,4.95,4.95
<br>540366,RADIOCITY   ,58.30,58.30,55.40,55.75
<br>540376,DMART       ,1254.00,1269.55,1232.00,1237.30
<br>540386,ONTIC       ,4.83,4.83,4.83,4.83
<br>540393,SMLT        ,23.90,23.90,23.90,23.90
<br>540395,CHEMCRUX    ,90.00,93.00,87.10,89.20
<br>540401,MAXIMUS     ,33.50,33.50,33.50,33.50
<br>540403,CLEDUCATE   ,115.00,116.50,113.15,114.95
<br>540405,OCEANIC     ,135.10,135.10,132.10,132.10
<br>540425,SHANKARA    ,502.95,505.00,491.95,498.35
<br>540497,SCHAND      ,133.10,140.00,130.00,131.70
<br>540519,MEERA       ,210.00,210.05,210.00,210.00
<br>540526,IRBINVIT    ,64.50,64.50,64.50,64.50
<br>540530,HUDCO       ,38.25,38.65,38.00,38.50
<br>540544,PSPPROJECT  ,440.00,442.55,433.00,434.45
<br>540565,INDIGRID    ,85.89,85.89,85.89,85.89
<br>540575,STARCEMENT  ,109.35,109.50,107.90,109.50
<br>540593,HEOF1126RG  ,9.70,9.70,9.70,9.70
<br>540595,TEJASNET    ,195.50,196.20,192.00,194.95
<br>540596,ERIS        ,606.00,611.25,601.05,606.70
<br>540602,GTPL        ,60.00,62.00,60.00,60.05
<br>540611,AUBANK      ,640.00,675.00,640.00,665.30
<br>540612,ICICILOVOL  ,90.00,90.00,87.09,87.09
<br>540614,GGENG       ,58.35,59.75,55.00,55.00
<br>540615,7NR         ,75.30,81.00,75.30,81.00
<br>540616,ARTEMIS     ,56.00,56.00,54.30,55.00
<br>540621,BHAGYAPROP  ,25.05,25.05,25.05,25.05
<br>540636,HEOF1100RG  ,9.40,9.40,9.40,9.40
<br>540642,SALASAR     ,188.25,189.75,186.10,186.55
<br>540647,GANGESSEC   ,46.00,46.00,41.50,45.75
<br>540649,AVADHSUGAR  ,466.05,474.90,460.15,463.25
<br>540650,MAGADHSUGAR ,129.90,130.00,125.05,127.00
<br>540653,SINTEXPLAST ,15.20,15.55,15.05,15.15
<br>540673,SIS         ,874.00,888.00,842.70,879.75
<br>540678,COCHINSHIP  ,356.55,364.80,356.55,362.05
<br>540679,SMSLIFE     ,416.00,449.85,416.00,434.65
<br>540680,KIOCL       ,118.00,120.80,116.00,119.60
<br>540686,SMRUTHIORG  ,139.95,140.00,132.55,138.00
<br>540691,ABCAPITAL   ,91.50,92.05,90.55,90.85
<br>540692,APEX        ,267.00,280.00,265.25,271.80
<br>540694,ANG         ,53.40,57.00,53.40,55.95
<br>540696,RUCHINDLTD  ,21.65,21.65,21.65,21.65
<br>540699,DIXON       ,2268.00,2275.00,2245.05,2256.25
<br>540700,BRNL        ,91.25,91.60,91.20,91.55
<br>540701,DCAL        ,211.35,216.65,202.00,205.45
<br>540702,LASA        ,22.90,23.10,22.50,23.00
<br>540704,MATRIMONY   ,602.15,639.00,602.15,636.75
<br>540709,RELHOME     ,17.50,20.00,17.50,18.25
<br>540710,CAPACITE    ,225.15,232.05,224.80,230.90
<br>540715,SAGAR       ,9.80,9.80,9.80,9.80
<br>540716,ICICIGI     ,1095.00,1122.25,1087.00,1119.15
<br>540719,SBILIFE     ,632.05,645.00,625.15,630.70
<br>540724,DIAMONDYD   ,870.00,893.25,862.70,886.40
<br>540726,TTFL        ,95.00,95.00,93.00,94.00
<br>540728,SAYAJIIND   ,239.50,239.50,239.50,239.50
<br>540735,IRIS        ,22.50,22.50,22.50,22.50
<br>540737,SGRL        ,63.50,64.15,63.00,63.55
<br>540743,GODREJAGRO  ,462.25,469.65,461.80,466.30
<br>540744,MESCON      ,12.21,12.70,11.83,11.95
<br>540749,MASFIN      ,526.05,530.00,522.00,523.25
<br>540750,IEX         ,157.00,157.00,140.10,144.50
<br>540755,GICRE       ,225.45,230.00,224.90,229.00
<br>540756,KAARYAFSL   ,24.00,28.40,23.90,24.05
<br>540757,SCPL        ,118.00,118.00,112.40,115.45
<br>540762,TIINDIA     ,376.00,381.10,371.90,378.20
<br>540767,RNAM        ,207.00,210.85,198.00,201.70
<br>540768,MAHLOG      ,451.35,467.40,435.00,447.95
<br>540769,NIACL       ,164.80,165.35,163.00,163.20
<br>540774,IFGLEXPOR   ,219.00,225.00,215.80,220.05
<br>540775,KHADIM      ,372.50,384.00,365.20,369.45
<br>540776,5PAISA      ,285.60,289.05,280.20,285.55
<br>540777,HDFCLIFE    ,379.05,384.00,374.50,382.50
<br>540782,SBRANDS     ,29.15,29.15,29.15,29.15
<br>540786,SHARIKA     ,30.00,30.00,30.00,30.00
<br>540787,ICICIB22    ,36.28,36.70,36.18,36.61
<br>540793,HHOF1140RG  ,8.25,8.26,8.01,8.25
<br>540797,SHALBY      ,128.00,131.45,127.00,131.05
<br>540798,FSC         ,624.50,628.80,610.50,626.45
<br>540799,DACEFRG     ,8.53,8.53,8.53,8.53
<br>540824,ASTRON      ,96.70,101.25,93.55,100.55
<br>540843,RITHWIKFMS  ,34.00,34.00,34.00,34.00
<br>540850,JFL         ,19.00,19.00,19.00,19.00
<br>540879,APOLLO      ,128.40,128.75,120.00,122.25
<br>540900,NEWGEN      ,328.30,332.50,320.00,321.50
<br>540901,PRAXIS      ,138.45,140.00,138.45,140.00
<br>540902,AMBER       ,710.85,739.45,710.85,731.60
<br>540903,CRPRISK     ,32.00,32.00,32.00,32.00
<br>540904,TIRUFOAM    ,88.60,88.60,88.60,88.60
<br>540923,AML         ,4.44,4.44,4.44,4.44
<br>540935,GALAXYSURF  ,1001.55,1038.90,995.90,1026.65
<br>540945,FSSPL       ,3.37,3.70,3.37,3.70
<br>540947,IPRU3034    ,8.52,8.52,8.05,8.05
<br>540952,LAL         ,5.97,5.97,5.00,5.97
<br>540954,IWP         ,64.00,69.00,64.00,67.95
<br>540961,SHIVAMILLS  ,53.90,56.00,52.05,52.40
<br>540975,ASTERDM     ,133.55,135.45,127.00,128.20
<br>540980,YSL         ,10360.00,10500.00,10360.00,10500.00
<br>541006,ANGEL       ,10.01,10.01,10.01,10.01
<br>541019,HGINFRA     ,241.35,258.70,240.10,254.75
<br>541083,INFLAME     ,135.00,147.90,135.00,147.90
<br>541096,BPLPHARMA   ,204.55,219.00,204.25,219.00
<br>541097,LIQUIDETF   ,1000.01,1000.01,999.99,999.99
<br>541143,BDL         ,256.50,266.00,256.50,264.70
<br>541144,ACTIVE      ,25.85,25.85,25.85,25.85
<br>541153,BANDHANBNK  ,564.00,567.35,550.40,561.60
<br>541154,HAL         ,641.55,649.90,633.70,642.40
<br>541161,KARDA       ,176.05,178.10,170.55,171.70
<br>541163,SANDHAR     ,287.20,287.20,280.10,284.20
<br>541179,ISEC        ,202.05,202.05,199.25,200.15
<br>541195,MIDHANI     ,124.55,124.70,121.35,122.60
<br>541206,OBCL        ,53.45,53.75,51.50,53.70
<br>541233,LEMONTREE   ,70.50,73.95,70.05,73.10
<br>541269,CHEMFABALKA ,155.60,168.70,155.60,162.90
<br>541299,DLCL        ,17.50,18.20,17.50,18.20
<br>541301,ORIENTELEC  ,157.40,158.60,153.00,156.75
<br>541302,DHRUV       ,36.00,38.00,36.00,38.00
<br>541303,AKSHAR      ,17.20,17.20,17.20,17.20
<br>541304,INDOUS      ,101.00,104.15,101.00,104.15
<br>541309,IPRU3095    ,8.85,8.85,8.85,8.85
<br>541313,ICICI500    ,147.64,148.49,147.64,148.49
<br>541336,INDOSTAR    ,335.05,348.00,333.05,343.20
<br>541347,PARVATI     ,3.21,3.21,3.21,3.21
<br>541353,INNOVATORS  ,48.85,49.90,48.80,48.90
<br>541400,ZIMLAB      ,120.00,121.85,113.50,120.45
<br>541401,ARIHANTINS  ,8.40,8.40,7.99,7.99
<br>541402,AFFORDABLE  ,109.30,112.00,109.30,112.00
<br>541403,DOLLAR      ,229.95,239.95,229.95,239.65
<br>541444,PALMJEWELS  ,20.10,20.10,20.10,20.10
<br>541450,ADANIGREEN  ,37.35,37.75,36.65,37.40
<br>541503,UNICK       ,23.20,23.20,21.10,21.10
<br>541540,SOLARA      ,449.05,449.05,423.00,426.05
<br>541545,TALWGYM     ,104.80,105.70,104.00,104.70
<br>541546,GAYAHWS     ,0.80,0.80,0.77,0.77
<br>541556,RITES       ,229.50,234.00,228.40,233.15
<br>541557,FINEORG     ,1367.15,1375.90,1360.15,1366.85
<br>541578,VARROC      ,478.25,494.00,478.20,487.05
<br>541627,HITECHWIND  ,20.00,20.40,19.00,20.40
<br>541634,RAWEDGE     ,68.00,68.00,68.00,68.00
<br>541678,TVF1G       ,8.00,8.40,8.00,8.35
<br>541700,TCNSBRANDS  ,818.00,838.10,805.50,812.90
<br>541701,SUPERSHAKT  ,435.00,435.00,435.00,435.00
<br>541702,ASHNI       ,4.38,4.58,4.38,4.58
<br>541725,IDFCEOS6RG  ,8.65,8.65,8.39,8.39
<br>541729,HDFCAMC     ,1584.85,1610.00,1577.00,1601.80
<br>541735,VIVANTA     ,5.00,5.00,4.91,4.91
<br>541741,TINNATFL    ,17.40,18.00,17.40,18.00
<br>541770,CREDITACC   ,464.45,477.00,447.00,464.50
<br>541771,AMINTAN     ,1.20,1.20,1.12,1.18
<br>541804,IPRU3168    ,7.80,8.10,7.80,8.10
<br>541809,ICICINXT50  ,26.12,26.12,26.12,26.12
<br>541890,SPACEINCUBA ,0.85,0.85,0.85,0.85
<br>541946,ICICILIQ    ,1000.01,1000.01,1000.00,1000.00
<br>541956,IRCON       ,376.00,383.50,374.60,381.55
<br>541972,SETFSN50    ,311.95,312.00,310.73,312.00
<br>541973,MACH        ,95.00,95.00,95.00,95.00
<br>541974,MANORAMA    ,205.00,208.00,204.25,206.25
<br>541984,RIOSAG      ,9.04,9.04,9.04,9.04
<br>541988,AAVAS       ,1454.90,1506.20,1414.65,1429.05
<br>541999,GENERAAGRI  ,6.00,6.00,5.61,5.61
<br>542011,GRSE        ,118.65,118.65,115.50,117.15
<br>542012,AAL         ,58.00,58.00,58.00,58.00
<br>542019,SHUBHAM     ,42.00,42.00,42.00,42.00
<br>542025,SUNRETAIL   ,27.00,32.95,27.00,30.00
<br>542034,SMGOLD      ,39.00,43.75,39.00,39.00
<br>542066,ADANIGAS    ,115.30,118.15,114.50,115.60
<br>542117,NETRIPPLES  ,12.93,12.93,12.93,12.93
<br>542123,PHOSPHATE   ,57.00,57.00,57.00,57.00
<br>542141,TECHNOE     ,227.60,231.90,226.10,227.25
<br>542155,DGL         ,28.05,28.05,26.05,26.85
<br>542156,IPRU3218    ,8.81,8.92,8.81,8.92
<br>542206,BTSYN       ,17.05,17.05,17.05,17.05
<br>542216,DALBHARAT   ,1038.05,1056.35,1027.00,1032.85
<br>542231,NILASPACES  ,1.53,1.54,1.42,1.52
<br>542233,TREJHARA    ,23.50,23.50,23.05,23.15
<br>542247,AXISCCGPG   ,8.02,8.02,8.02,8.02
<br>542248,DECCAN      ,96.10,96.10,95.05,95.95
<br>542285,AXITA       ,74.50,79.00,74.50,79.00
<br>542323,KPIGLOBAL   ,67.50,67.90,67.50,67.70
<br>542333,CESCVENTURE ,488.10,509.00,472.85,485.55
<br>542337,SPENCER     ,130.65,138.00,128.50,132.70
<br>542351,GLOSTERLTD  ,938.75,938.75,871.00,872.55
<br>542367,XELPMOC     ,66.05,66.05,66.05,66.05
<br>542383,RITCO       ,73.00,73.00,72.75,72.95
<br>542459,KRANTI      ,37.10,37.10,37.10,37.10
<br>542460,ANUP        ,400.00,446.00,392.75,427.90
<br>542484,ARVINDFASN  ,837.00,847.95,755.60,768.90
<br>542579,AGOL        ,46.00,46.00,45.50,45.50
<br>542580,AARTECH     ,34.90,35.00,34.90,35.00
<br>542597,MSTC        ,99.10,100.15,98.25,98.55
<br>542602,EMBASSY     ,340.10,343.40,340.00,341.05
<br>542627,CHANDNIMACH ,16.15,16.15,15.40,16.00
<br>542641,CKFSL       ,20.10,20.10,20.10,20.10
<br>542649,RVNL        ,21.80,22.40,21.50,22.10
